트랜잭션 날짜,인보이스 ID,결제 방법,유형,통화,금액,결제 기간,서비스 공급자,요금 유형,구매 주문 ID,지급인 계정 ID
"2022년 9월 2일","1117653925","6908(으)로 끝나는 신용카드","결제","KRW","23,249","2022년 8월","AWS Korea","사용량","-","357095301131"
"2022년 10월 2일","1134950877","6908(으)로 끝나는 신용카드","결제","KRW","26,489","2022년 9월","AWS Korea","사용량","-","357095301131"
"2022년 11월 2일","1173806009","6908(으)로 끝나는 신용카드","결제","KRW","27,842","2022년 10월","AWS Korea","사용량","-","357095301131"
"2022년 12월 2일","1198726265","6908(으)로 끝나는 신용카드","결제","KRW","25,802","2022년 11월","AWS Korea","사용량","-","357095301131"
"2023년 1월 2일","1211441201","6908(으)로 끝나는 신용카드","결제","KRW","25,231","2022년 12월","AWS Korea","사용량","-","357095301131"
"2023년 2월 2일","1241378789","6908(으)로 끝나는 신용카드","결제","KRW","24,275","2023년 1월","AWS Korea","사용량","-","357095301131"
"2023년 3월 2일","1271263625","6908(으)로 끝나는 신용카드","결제","KRW","22,940","2023년 2월","AWS Korea","사용량","-","357095301131"
"2023년 4월 3일","1306068657","6908(으)로 끝나는 신용카드","결제","KRW","25,481","2023년 3월","AWS Korea","사용량","-","357095301131"
"2023년 5월 9일","1330218117","7214(으)로 끝나는 신용카드","결제","KRW","25,119","2023년 4월","AWS Korea","사용량","-","357095301131"
"2023년 6월 2일","1351965721","7214(으)로 끝나는 신용카드","결제","KRW","25,907","2023년 5월","AWS Korea","사용량","-","357095301131"
