rp	i	en	kr	jp	cn	desc
Replacer	0	English/영어/en	Korean/한국어/kr	Japanese/일본어/jp	Chinese/중국어(번체)/cn	Description
[--version--]	1	Ver. 0.1.6. (2015-06-09).				
[--welcome--]	2	Welcome to Recoeve	Recoeve 에 오신 것을 환영합니다.	Recoeve へようこそ	欢迎来到 Recoeve	
[--desc--]	3	"<div class=""p replace-reco-eve"">Record everything that you are interested in and wanna value. Then get connected to the people of your kind based on your evaluations, and get personalized recommendations for everything from them.</div>
<div class=""p replace-reco-eve"">Be free from abusing or contamination, and agenda setting from mass-media which is inevitably to be filtered by a few editors. Even if they are good at all, some of them might be not of your interest and not be ordered by your importance. Make your important sorts be important. And meet the minority reports of your kinds.</div>
<div class=""p replace-reco-eve"">Things that worth spreading, but so specialized especially to a few experts, will be propagated through your neighbors of that particular fields/categories in Recoeve. (You do not have to send messages to them. Just reco it, then the recos will spread out, finding automatically which users might be interested in this.)</div>"	"<div class=""p replace-reco-eve"">관심있게 본 기사/뉴스, 즐겨듣는 음악, 재밌었던 영상, 다시 찾고싶은 사이트 등 평가를 내리고 싶은 어떤 것이든 기록 (Record Everything) 하세요. 그 평가들을 바탕으로 자동으로 당신과 비슷한 사람들과 연결되어 보세요. 그리고 그들로부터 당신에게 특화된 새로운 것들을 추천받아 보세요 (Recommendations for Everything).</div>
<div class=""p replace-reco-eve"">인터넷과 대중매체들의 넘치는 오염된/난잡한/편향된 (내 기호에는 맞지 않는) 정보들로부터 벗어나서, 당신이 중요하게 생각하는 정보들을 중요하게 만들어 보세요. 대중매체나 기사 등은 소수의 편집자들에 의해 여과되고 처리될 수밖에 없기에, 그들이 아무리 일을 잘한다 할지라도 그 중 일부는 나와 안 맞을때도 많습니다. 자신의 관심사를 자신에게 중요하게 만들고, 당신과 비슷한 소수의견들을 만나보세요.</div>
<div class=""p replace-reco-eve"">특히나 너무나 전문화 되어 있는 분야에서는 높은 품질의 컨텐츠들도 잘 추천되거나 퍼지기 힘든 경향이 있죠. Recoeve 에서 카테고리별/분야별 정리를 통해 특정 분야에서의 나와 비슷한 사람들과 연결되고 그 분야에 특화된 개인화 된 추천과 이야기들을 만나보세요. (따로 추천해주기 위해 그들에게 메세지를 보낼 필요는 없습니다. 기록 (Reco) 만 하세요. 자동으로 당신의 Reco 를 좋아할만한 사람들을 찾아서 당신의 추천이 전달될 겁니다.)</div>"	"<div class=""p replace-reco-eve"">関心を持って見た記事/ニュース、お気に入りの音楽、おもしろかった映像、再度探したいサイトなどの評価を下げたいどんなものでも記録（Record Everything）してください。その評価をもとに、自動的にあなたと似たような人々と接続されてみてください。そして、そこから、あなたに特化した新しいものを勧められてみてください（Recommendations for Everything）。</div>
<div class=""p replace-reco-eve"">インターネットとメディアのあふれる汚染された/不調/偏向（私の好みには合わない）情報から抜け出し、あなたが大切にしている情報を重要にさせてみてください。メディアや記事などは、少数の編集者によって濾過され、処理されるしかないので、彼らはどんなに仕事を上手にあっても、そのうちのいくつかは、記載されてアンマトウル時も多いです。自分の興味を自分に重要にして、あなたのような少数意見を満たす。</div>
<div class=""p replace-reco-eve"">特にあまりにも専門としている分野では、高品質のコンテンツもよく推薦されたり広がり難しい傾向がのです。 Recoeve でカテゴリー別/分野別の整理を使用して、特定の分野での私に似て人々と接続され、その分野に特化したパーソナライズされた推薦と話を満たす。 （別にお勧め接触のためにそれらにメッセージを送信する必要はありません。記録（Reco）のみです。自動的にあなたの Reco を好むほどの人々を見つけ、あなたの推薦が転送されるでしょう。）</div>
<div class=""p"">Sorry for the machine translation. I am 99% sure that the above writing and possibly others elsewhere be flawed since I am terribly poor at the Japanese language. Please give us corrections and errata reports through <a href=""http://kipid.tistory.com/entry/Recoeve-net-Feedbacks-Error-reports-and-Suggestions"">this page</a>.</div>"	"<div class=""p replace-reco-eve"">所以有兴趣的听故事/新闻，喜欢的音乐，有有趣的视频，无论你想使你正在寻找回写（Record Everything），请网站的评价。自动类似于那些与你评估的基础上连接。并获得个性化的建议，具体到你新的东西从他们（Recommendations for Everything）。</div>
<div class=""p replace-reco-eve"">从外网上，充满肮脏/凌乱/偏置（不适合我的符号）从媒体的信息，觉得你认真思考的信息是非常重要的。因为媒体和文章，并且不意味着被过滤，并通过一小群的编辑处理，并且他们往往是再好完成工作权，其中有一些未示出。创建你自己的利益对你很重要，你有类似的少数人见面。</div>
<div class=""p replace-reco-eve"">尤其是那些高品质的专业等内容推荐好或有东西在一个艰难的扩散趋势的地区。通过有组织的与同一人连接的类别/部门 Recoeve 列在一个特定区域，并满足在这一领域的专业化，个性化的建议的故事。 （现在不需要派一个独立的建议，他们的消息。记录（Reco）只请。自动查找和人可能喜欢你的 Reco 将交付给你和其他人。）</div>
<div class=""p"">Sorry for the machine translation. I am 99% sure that the above writing and possibly others elsewhere be flawed since I am terribly poor at the Chinese language. Please give us corrections and errata reports through <a href=""http://kipid.tistory.com/entry/Recoeve-net-Feedbacks-Error-reports-and-Suggestions"">this page</a>.</div>"	
[--foot--]	4	<a href="http://recoeve.net/">Recoeve.net</a> is currently on alpha test service stage. Please give us feedbacks, error or errata reports, and suggestions through <a href="http://kipid.tistory.com/entry/Recoeve-net-Feedbacks-Error-reports-and-Suggestions">this blog page</a>.	<a href="http://recoeve.net/">Recoeve.net</a> 는 현재 알파 테스트 단계에 있습니다. 에러나 오타를 발견하시거나, 제안사항, 도움이 필요한 부분이 있으시면 <a href="http://kipid.tistory.com/entry/Recoeve-net-Feedbacks-Error-reports-and-Suggestions">이 블로그 페이지</a>의 댓글을 통해 알려주세요.	<a href="http://recoeve.net/">Recoeve.net</a> は現在アルファテスト段階にあります。エラーやミスを発見していただくか、提案、助けが必要な部分がございましたら、<a href="http://kipid.tistory.com/entry/Recoeve-net-Feedbacks-Error-reports-and-Suggestions">このブログのページ</a>のコメントでお知らせください。	<a href="http://recoeve.net/">Recoeve.net</a> 目前處於alpha測試階段。或者發現錯誤或錯別字，建議，讓我知道，如果你有需要通過這個 <a href="http://kipid.tistory.com/entry/Recoeve-net-Feedbacks-Error-reports-and-Suggestions">博客頁面</a> 的評論幫助任何地區。	
[--ID--]	10	ID	아이디	ユーザ名	用户名	
[--E-mail--]	11	E-mail	이메일	メール	电子邮件	
[--Password--]	12	Password	비밀번호	パスワード	密碼	
[--Password confirm--]	13	Password confirm	비밀번호 확인	パスワードの確認	確認密碼	
[--Remember me--]	14	Remember me	로그인 유지	ログインキープ	登录保持	
